SAMEA1710313_138,332174,npmA2
SAMEA1710497,134161,npmA2
SAMEA1710827,193294,npmA2
SAMEA2239719_171,134514,npmA2
SAMEA2240527_182,134514,npmA2
SAMEA5846548_10,137311,npmA2
SAMEA5846551_27,328523,npmA2
SAMEA5846552_68,213491,npmA2
SAMEA5846554_111,149984,npmA2
SAMEA5846555_102,85293,npmA2
SAMEA5846557_96,33941,npmA2
SAMEA5846558_67,85247,npmA2
SAMEA5846559,85179,npmA2
SAMEA5846561_118,33937,npmA2
SAMEA5846562_113,81374,npmA2
SAMEA5846563,85168,npmA2
SAMEA5846564_120,33933,npmA2
SAMEA5846565,33889,npmA2
SAMEA5846566_81,85243,npmA2
SAMEA5846567_77,85224,npmA2
SAMEA5846568_87,245476,npmA2
SAMEA5846569_120,49650,npmA2
SAMN02650258,247482,npmA2
SAMN04458513_17,134205,npmA2
SAMN04459343_251,145303,npmA2
SAMN04460609_142,332583,npmA2
SAMN06675465_9,135700,npmA2
SAMN06675468_1,136665,npmA2
SAMN06675470_26,213821,npmA2
SAMN06675476_40,135700,npmA2
SAMN06675526_106,341202,npmA2
SAMN06675534_98,134368,npmA2
SAMN06675539_66,334816,npmA2
SAMN06675551_67,412140,npmA2
SAMN07609404_110,216474,npmA2
SAMN08915596_6,153233,npmA2
SAMN19130042_88,175821,npmA2
SAMN22636055_33,333748,npmA2
SAMN25516586_3,135094,npmA2
SAMN25516701_52,212879,npmA2
SAMN25516703_3,135094,npmA2
SAMN25516759_79,72591,npmA2
SAMN25516791,134575,npmA2
SAMN25516856_3,135094,npmA2
SAMN25516892_27,416087,npmA2
SAMN25516938_21,411028,npmA2
SAMN25516973_12,135094,npmA2
SAMN25516990_24,339631,npmA2
SAMN29256601_10,134205,npmA2
SAMN29614005_35,565977,npmA2
SAMN31426476_84,373737,npmA2
SAMN33341108_100,175804,npmA2
SAMN33341169_101,175821,npmA2
SAMN34409465_11,175821,npmA2
SAMN34409487_11,175821,npmA2
SAMN35987594_38,394015,npmA2
SAMN37183764_58,287529,npmA2
SAMN37183772_10,175821,npmA2
SAMN37224098_1,4016009,npmA2
SAMN37224100_2,231835,npmA2
SAMN37224101_1,4011181,npmA2
SAMN37224103_1,3236401,npmA2
SAMN37224108_1,4031448,npmA2
SAMN37224109_1,4018753,npmA2
SAMN37224131_2,1774302,npmA2
SAMN37224198_3,109391,npmA2
SAMEA110473739_114,295888,npmA1
SAMN05209145_45,373595,npmA1
SAMN14265979_1,4180658,npmA1
